Category,Service Name,Description,Duration,Price
PACKAGES,BEE MY HONEY,"A seriously skin softening session that begins with a sesame honey-based body polish to exfoliate and revitalize. You’ll then be immersed in a cocoon of warmth with a warm milk, sesame, and honey wrap to nurture your skin. Finally, surrender to a 60 minute Balin-Ease Massage featuring Maya’s Secret Massage Oil to leave you buzzing. Includes: Foot Cleansing Ritual I Body Polish I Body Wrap I Massage I Legendary Ginger Tea",2 hrs,AED 790
KLORIS PREMIUM CBD,BEE MY HONEY,"A seriously skin softening session that begins with a sesame honey-based body polish to exfoliate and revitalize. You’ll then be immersed in a cocoon of warmth with a warm milk, sesame, and honey wrap to nurture your skin. Finally, surrender to a 60 minute Balin-Ease Massage featuring Maya’s Secret Massage Oil to leave you buzzing. Includes: Foot Cleansing Ritual I Body Polish I Body Wrap I Massage I Legendary Ginger Tea",2 hrs,AED 790
KLORIS PREMIUM CBD,URBAN LIVING,"Today’s urban lifestyle leaves our bodies clogged up and run down. Let your skin breathe freely with made in-house Body Polish of your choice to exfoliate and soften the skin. Our popular 60 minute Balin-Ease Massage follows to ease both body and mind leaving you feeling energized, refreshed, and ready to embrace the vibrant pulse of urban life once again. Includes: Foot Cleansing Ritual I Body Polish I Massage I Choice of Enhancement I Legendary Ginger Tea","1 hr, 30 mins",AED 660
KLORIS PREMIUM CBD,THE ESSENTIAL SPA RITUAL,"A complete journey into sensory heaven for the face and body. This best-selling package combines a 60 minute Balin-ease Massage along with your choice of a Natura Bissé facial, prescribed to your needs. Choose between the hydrating Citrus Radiance Facial or the purifying O2 Relax Facial, each promising a bespoke journey into radiant skin. Extend the indulgence further by elevating your massage with either Cocoa Butter to deeply moisturize the skin, or our Cooling Cucumber with Ice Globes, for a revitalized and glowing complexion. Includes: Foot Cleansing Ritual I Massage I Advanced Facial I Choice of Enhancement I Legendary Ginger Tea",2 hrs,AED 960
KLORIS PREMIUM CBD,THE URBAN REPAIR,"Immerse yourself in a must-have, luxurious 60-minute Balin-Ease Massage, expertly tailored to melt away the stresses of urban living. This seamlessly pairs with the prebiotic-packed, anti-ageing Diamond Cocoon Experience Facial by Natura Bisse. This harmonious duo is designed to usher you into a realm of rejuvenation ensuring that you emerge not just refreshed, but utterly revitalized. The addition of the Cooling Cucumber with Ice Globes enhancement will give life to tired eyes and energy for the days ahead. Includes: Foot Cleansing Ritual I Massage I Advanced Facial I Facial Enhancement I Legendary Ginger Tea","2 hrs, 30 mins","AED 1,060"
KLORIS PREMIUM CBD,THE LUXE COCO RITUAL,"A sumptuous, skin soothing treat for a tired body. Begin with a decadent 30 minute experience featuring a luscious, gritty coconut Body Polish, meticulously crafted to exfoliate and soften your skin to perfection. Then, bask in the choice of a 90 minute Balin-Ease or Hot Stone Massage, expertly executed with pure coconut oil to deeply nourish and moisturize your body from head to toe. Personalise your session with the exquisite addition of Cooling Cucumber with Ice Globes, taking your overall experience to unparalleled levels of relaxation. Includes: Foot Cleansing Ritual I Body Polish I Massage I Facial Enhancement I Legendary Ginger Tea",2 hrs,AED 760
KLORIS PREMIUM CBD,THE CANNA-CURE BY KLORIS,"The ultimate introduction to the benefits of CBD. Your journey begins with an ultra-relaxing 15 minute foot massage using the KLORIS CBD Balm that sets the stage for pure relaxation. Stress and worries will slip away as skilled hands perform a precise pressure point massage using the calming CBD balm. A full body bespoke massage follows using blood orange, vanilla, and oud scented CBD Oil along with hot stones to melt tension. You’ll take away the much-loved Luxury CBD Balm and CBD Body Oil to experience all the benefits that CBD has to offer.",2 hrs,AED 810
KLORIS PREMIUM CBD,ON CLOUD 9 BY KLORIS,"This signature spa ritual begins with a full body massage using KLORIS CBD Oil, CBD Balm, and hot stones, relieving tension and ironing out naughty knots. A fortifying facial massage follows using the ultra-nourishing KLORIS CBD Superboost Face Oil, boosting luminosity, improving skin tone, and protecting against free radical damage and cell degeneration.",2 hrs,AED 720
ADVANCED FACIALS,THE URBAN REPAIR,"Immerse yourself in a must-have, luxurious 60-minute Balin-Ease Massage, expertly tailored to melt away the stresses of urban living. This seamlessly pairs with the prebiotic-packed, anti-ageing Diamond Cocoon Experience Facial by Natura Bisse. This harmonious duo is designed to usher you into a realm of rejuvenation ensuring that you emerge not just refreshed, but utterly revitalized. The addition of the Cooling Cucumber with Ice Globes enhancement will give life to tired eyes and energy for the days ahead. Includes: Foot Cleansing Ritual I Massage I Advanced Facial I Facial Enhancement I Legendary Ginger Tea","2 hrs, 30 mins","AED 1,060"
ADVANCED FACIALS,THE LUXE COCO RITUAL,"A sumptuous, skin soothing treat for a tired body. Begin with a decadent 30 minute experience featuring a luscious, gritty coconut Body Polish, meticulously crafted to exfoliate and soften your skin to perfection. Then, bask in the choice of a 90 minute Balin-Ease or Hot Stone Massage, expertly executed with pure coconut oil to deeply nourish and moisturize your body from head to toe. Personalise your session with the exquisite addition of Cooling Cucumber with Ice Globes, taking your overall experience to unparalleled levels of relaxation. Includes: Foot Cleansing Ritual I Body Polish I Massage I Facial Enhancement I Legendary Ginger Tea",2 hrs,AED 760
ADVANCED FACIALS,THE CANNA-CURE BY KLORIS,"The ultimate introduction to the benefits of CBD. Your journey begins with an ultra-relaxing 15 minute foot massage using the KLORIS CBD Balm that sets the stage for pure relaxation. Stress and worries will slip away as skilled hands perform a precise pressure point massage using the calming CBD balm. A full body bespoke massage follows using blood orange, vanilla, and oud scented CBD Oil along with hot stones to melt tension. You’ll take away the much-loved Luxury CBD Balm and CBD Body Oil to experience all the benefits that CBD has to offer.",2 hrs,AED 810
ADVANCED FACIALS,ON CLOUD 9 BY KLORIS,"This signature spa ritual begins with a full body massage using KLORIS CBD Oil, CBD Balm, and hot stones, relieving tension and ironing out naughty knots. A fortifying facial massage follows using the ultra-nourishing KLORIS CBD Superboost Face Oil, boosting luminosity, improving skin tone, and protecting against free radical damage and cell degeneration.",2 hrs,AED 720
ADVANCED FACIALS,NATURA BISSE DIAMOND COCOON EXPERIENCE FACIAL,"Revitalise · Restore · Detoxify Activate the full potential of your skin with this luxurious and prebiotic packed ritual designed to penetrate the deepest layers of the skin to counter the effects of modern pollution and stress. Powerful anti-ageing ingredients and enveloping massage techniques aid in detoxifying, purifying, and repairing the skin barrier.","1 hr, 30 mins",AED 592
ADVANCED FACIALS,NATURA BISSE 3D COLLAGEN FACIAL,"Firm · Tighten · Sculpt A firming treatment that utilizes three types of collagen to sculpt and define your facial contour, improve skin density and lock in moisture. This innovative facial provides an outstanding lifting effect and reveals incredibly supple and plump skin. It is a reparative treatment that will enhance cellular function to fight premature ageing caused by hormonal fluctuations.","1 hr, 30 mins",AED 592
MAINTENANCE FACIALS,NATURA BISSE DIAMOND COCOON EXPERIENCE FACIAL,"Revitalise · Restore · Detoxify Activate the full potential of your skin with this luxurious and prebiotic packed ritual designed to penetrate the deepest layers of the skin to counter the effects of modern pollution and stress. Powerful anti-ageing ingredients and enveloping massage techniques aid in detoxifying, purifying, and repairing the skin barrier.","1 hr, 30 mins",AED 592
MAINTENANCE FACIALS,NATURA BISSE 3D COLLAGEN FACIAL,"Firm · Tighten · Sculpt A firming treatment that utilizes three types of collagen to sculpt and define your facial contour, improve skin density and lock in moisture. This innovative facial provides an outstanding lifting effect and reveals incredibly supple and plump skin. It is a reparative treatment that will enhance cellular function to fight premature ageing caused by hormonal fluctuations.","1 hr, 30 mins",AED 592
MAINTENANCE FACIALS,NATURA BISSE CITRUS RADIANCE THERAPY FACIAL,"Renew · Moisturise · Brighten Replenish and restore vitality into your skin with the antioxidant power of Vitamin C. Reverse the signs of premature ageing with this nutrient-rich facial that stimulates collagen, reduces inflammation, and intensely moisturises and firms the skin. Reawaken your senses and brighten your skin tone, unveiling a hydrated and revitalised complexion.",1 hr,AED 472
MAINTENANCE FACIALS,NATURA BISSE O2 RELAX FACIAL,"Purify · Hydrate · Revitalise Awaken your skin and restore a healthy glow with the fortifying energy of pure water and oxygen to decongest, brighten, and clarify. This exfoliating and invigorating treatment releases pure oxygen molecules into the skin, eliminating toxins and restoring its youthful tone and vitality. Perfect for any skin type, and especially beneficial for frequent travelers or anyone with dull or dehydrated skin.",1 hr,AED 472
MAINTENANCE FACIALS,NATURE BISSE SKIN COMFORT FACIAL,"Soothe · Balance · Calm This calming facial is the perfect answer for hypersensitive or irritated skin. Pamper your skin with a combination of gentle botanical ingredients that repairs and decongests whilst visibly soothing skin, providing maximum relief and comfort from red spots and inflammation.",1 hr,AED 472
MAINTENANCE FACIALS,THE EXPRESS FACIAL,An invigorating facial treatment that’s perfect for all skin types and anyone looking to quickly restore a glowing youthful appearance. It’s the perfect beauty booster before a special event or as an introduction to Natura Bisse facial treatments.,30 mins,AED 260
SENSMAMA,NATURA BISSE CITRUS RADIANCE THERAPY FACIAL,"Renew · Moisturise · Brighten Replenish and restore vitality into your skin with the antioxidant power of Vitamin C. Reverse the signs of premature ageing with this nutrient-rich facial that stimulates collagen, reduces inflammation, and intensely moisturises and firms the skin. Reawaken your senses and brighten your skin tone, unveiling a hydrated and revitalised complexion.",1 hr,AED 472
SENSMAMA,NATURA BISSE O2 RELAX FACIAL,"Purify · Hydrate · Revitalise Awaken your skin and restore a healthy glow with the fortifying energy of pure water and oxygen to decongest, brighten, and clarify. This exfoliating and invigorating treatment releases pure oxygen molecules into the skin, eliminating toxins and restoring its youthful tone and vitality. Perfect for any skin type, and especially beneficial for frequent travelers or anyone with dull or dehydrated skin.",1 hr,AED 472
SENSMAMA,NATURE BISSE SKIN COMFORT FACIAL,"Soothe · Balance · Calm This calming facial is the perfect answer for hypersensitive or irritated skin. Pamper your skin with a combination of gentle botanical ingredients that repairs and decongests whilst visibly soothing skin, providing maximum relief and comfort from red spots and inflammation.",1 hr,AED 472
SENSMAMA,THE EXPRESS FACIAL,An invigorating facial treatment that’s perfect for all skin types and anyone looking to quickly restore a glowing youthful appearance. It’s the perfect beauty booster before a special event or as an introduction to Natura Bisse facial treatments.,30 mins,AED 260
SENSMAMA,NURTURING MOTHER-TO-BE MASSAGE 60MIN,"Our bump-friendly massage is locally famed! Prevent stretch marks, relieve fatigue, hydrate the skin, and ease fluid retention using specialised massage techniques whilst slightly inclined on your side. Let us balance and revive your incredible body and mind.",1 hr,AED 392
SENSMAMA,NURTURING MOTHER-TO-BE MASSAGE 90MIN,"Our bump-friendly massage is locally famed! Prevent stretch marks, relieve fatigue, hydrate the skin, and ease fluid retention using specialised massage techniques whilst slightly inclined on your side. Let us balance and revive your incredible body and mind.","1 hr, 30 mins",AED 464
WRAPS & SCRUBS,NURTURING MOTHER-TO-BE MASSAGE 60MIN,"Our bump-friendly massage is locally famed! Prevent stretch marks, relieve fatigue, hydrate the skin, and ease fluid retention using specialised massage techniques whilst slightly inclined on your side. Let us balance and revive your incredible body and mind.",1 hr,AED 392
WRAPS & SCRUBS,NURTURING MOTHER-TO-BE MASSAGE 90MIN,"Our bump-friendly massage is locally famed! Prevent stretch marks, relieve fatigue, hydrate the skin, and ease fluid retention using specialised massage techniques whilst slightly inclined on your side. Let us balance and revive your incredible body and mind.","1 hr, 30 mins",AED 464
WRAPS & SCRUBS,MUMMY MASSAGE AND MORE,"Relax the maxed-out mum to be and feel the benefits before, during, and after the baby arrives. Take some time out to melt the stress and tension away with this decadent combination of our 60 minute Nurturing Mother-To-Be Massage followed by a Natura Bissé Skin Advanced Facial.","2 hrs, 15 mins",AED 950
WRAPS & SCRUBS,LIGHTER LEGS,"Enjoy an extended foot cleansing ritual that includes balancing salt scrub on the lower legs before the treatment gets going. Enhanced with the use of Naura Bissé Cryo Gel, wind down with a full leg lymphatic drainage massage focused on reducing swelling and improving circulation.",15 mins,AED 130
WRAPS & SCRUBS,SCRUB-A-DUB-MUM,"Improve circulation with a stimulating body polish, scrubbing away dead skin cells in those hard to reach (or see) spots! Choose between the sweetly scented Sugar Daddy Body Buff or the soothing Coconut and Rose Exfoliate.",30 mins,AED 260
WRAPS & SCRUBS,HOT SALT & PEPPER SCRUB,A strong exfoliate comprised of a detoxifying rock salt and ground black pepper mixture that stimulates and tones the skin.,1 hr,AED 430
WRAPS & SCRUBS,SUGAR DADDY BODY BUFF,"A vitamin E packed, skin softening mixture of brown sugar, sweet almond oil, and vanilla essence that is a sweet treat for the skin.",1 hr,AED 430
ENHANCE YOUR EXPERIENCE,HOT SALT & PEPPER SCRUB,A strong exfoliate comprised of a detoxifying rock salt and ground black pepper mixture that stimulates and tones the skin.,1 hr,AED 430
ENHANCE YOUR EXPERIENCE,SUGAR DADDY BODY BUFF,"A vitamin E packed, skin softening mixture of brown sugar, sweet almond oil, and vanilla essence that is a sweet treat for the skin.",1 hr,AED 430
ENHANCE YOUR EXPERIENCE,LUXE LAVENDER RUB,"This comforting combination of pure lavender essential oil, sweet almond oil, and brown sugar will soften the skin and ease tension.",1 hr,AED 430
ENHANCE YOUR EXPERIENCE,COCONUT & ROSE BODY BUFF,"Ideal for sensitive skin, this mixture of ground coconut, rose water, and sweet almond oil acts as a gentle exfoliator that will soothe and nourish the skin.",1 hr,AED 430
ENHANCE YOUR EXPERIENCE,WARM MILK & HONEY WRAP,"The nourishing duo of milk and honey will perfect, hydrate, and smooth the skin’s appearance, giving you a youthful and natural glow. Include a 20 minute head massage while the wrap works its magic. After a refreshing shower, you’ll be treated to a tranquil back massage during the moisture application.",1 hr,AED 430
ENHANCE YOUR EXPERIENCE,BEE STUNG MASK,"Feel the refreshing chill of our ice globes, awakening your skin and boosting hydration before we apply a rejuvenating gold jelly mask. Perfect for cooling, plumping, and visibly lifting your complexion, this mask lets bee venom peptides work their magic for a refreshed and revitalized look!",15 mins,AED 150
ENHANCE YOUR EXPERIENCE,MASKED UP,We're multi-taskin' relaxation! Enjoy the rejuvenating Snake Bubble Mask face mask at the same time as your massage.,15 mins,AED 90
